0x7F60,0x7EF3,0x96,0x90
0x8039,0x7F89,0x9C,0x8D
0x8061,0x7FC2,0x82,0x60
0x7FD4,0x8006,0x6F,0x5F
0x802F,0x803A,0x7E,0x93
0x8082,0x7F81,0x7C,0x78
0x8025,0x8048,0x80,0x77
0x8058,0x7F71,0x80,0xBA
0x8055,0x7FFF,0x86,0x76
0x7F93,0x8044,0xA7,0x87
0x8036,0x7F82,0x88,0x73
0x803C,0x7FDE,0x9C,0x9B
0x8071,0x8004,0xAC,0x92
0x7FA7,0x7FA6,0x8D,0x6F
0x8035,0x804D,0x9E,0x7D
0x7F75,0x7FEE,0x7E,0x72
0x7FA5,0x7F91,0x8F,0x6D
0x8024,0x7FD6,0x92,0x7D
0x7FE8,0x7F44,0x77,0x9C
0x805E,0x8059,0x5E,0x9A
0x7F6C,0x8040,0x74,0x95
0x80B0,0x7FF3,0x76,0x9D
0x7FD4,0x7FF5,0x87,0x86
0x8038,0x8047,0x6D,0x9B
0x7FF6,0x7F94,0x96,0x9F
0x8051,0x8052,0x70,0xA7
0x80A5,0x804C,0x75,0x88
0x7F9B,0x8024,0x8E,0x84
0x8022,0x80D8,0x8D,0x94
0x7F6F,0x8028,0x8E,0xA2
0x7FF1,0x8065,0xA6,0x81
0x8013,0x7FD0,0x76,0x5E
0x7FA9,0x7FC5,0x6B,0x98
0x7FDF,0x7FCD,0x65,0x68
0x8055,0x7FE7,0xA4,0x79
0x7F74,0x7F57,0x99,0x69
0x8029,0x7F96,0x77,0x8F
0x7FEC,0x7FE9,0x7B,0x9D
0x7F7E,0x800F,0x7B,0x85
0x8027,0x7F83,0x70,0xAE
0x7F18,0x8019,0xBD,0x85
0x7FCD,0x801C,0x7D,0x86
0x8003,0x800E,0x85,0x93
0x7FF0,0x7F90,0x78,0x7A
0x8045,0x8056,0x4E,0x7F
0x808A,0x804B,0x82,0x7E
0x804C,0x7F96,0x9B,0xA9
0x8004,0x8080,0x72,0x71
0x80BD,0x8033,0x9B,0x88
0x8045,0x8018,0x6F,0x74
0x7F89,0x7FA6,0xAA,0x95
0x8035,0x8019,0x6B,0x7E
0x8006,0x7FF9,0x69,0x97
0x7FB8,0x8051,0x9F,0x8A
0x8039,0x7F78,0x87,0x87
0x7FC3,0x7ED3,0x8F,0x9C
0x7F86,0x7FB4,0x73,0x7A
0x7FD6,0x7F9F,0x84,0x84
0x800D,0x7F8D,0x83,0x9A
0x80CB,0x8010,0x64,0x6D
0x803A,0x802C,0x76,0x82
0x8026,0x7FCF,0x8C,0x90
0x7FF1,0x8057,0x8C,0x7C
0x7FF3,0x7FD6,0x6C,0x5E
0x7F99,0x7F0D,0x89,0x72
0x7FFD,0x7FD5,0xB6,0x73
0x806E,0x8093,0x63,0x5F
0x7F6A,0x7F72,0x91,0x99
0x7F2D,0x7F91,0x65,0x70
0x8074,0x8025,0x88,0x6D
0x8090,0x7F9C,0x8E,0xA4
0x8033,0x7F9A,0x5E,0x95
0x7FF1,0x80A6,0x8F,0x82
0x8020,0x8021,0x6D,0xA4
0x8045,0x8011,0x5F,0x81
0x7FCA,0x7F91,0x7C,0x97
0x8021,0x7F85,0x63,0x6E
0x7FD4,0x8024,0xA2,0x7A
0x803F,0x801F,0x7F,0xA6
0x8011,0x7F9E,0x8D,0x8F
0x7FC9,0x7F63,0x96,0x7B
0x8064,0x7F91,0x8C,0x8E
0x803F,0x7FBE,0x85,0x9D
0x8047,0x8064,0x88,0x72
0x7FDC,0x7F7A,0x80,0x94
0x8016,0x7F2E,0x7E,0x9B
